financial,follow_cnt,followers_cnt,gender,status_cnt,verified_reason
False,35,313345,m,723,情歌/歌王/王子///代表/代表作///找/一个/字/代替/////九/佰/九/拾/九朵/朵玫瑰/玫瑰/////千纸鹤/纸鹤///等
False,463,57965044,f,4462,演员
False,244,16435101,f,651,台湾/女艺人/艺人
False,257,14713181,m,741,歌手
False,9,285858,f,647,韩国/当红/红女/女星///作品/有/韩剧///我/的/名字/叫/金三顺////女人/香///等
False,210,459717,m,2048,香港/歌手
False,404,2695153,m,2136,飛/輪/海/團/員/辰/亦/儒
False,795,1743714,f,2471,内地/歌手/黄绮珊
False,268,2209808,m,1215,著名/著名演员/名演员/演员///作品///忠烈/杨家/杨家将////李/卫/辞官////水/月/洞天///等
False,183,43456643,m,1893,歌手
False,459,2051221,m,2611,内地/组合/至上/励/合成/成员/张/远
False,610,1571301,m,6479,TVB/演员/梁/烈/唯
False,106,16021,f,656,台湾/艺人
False,267,8910451,m,3877,歌手/曹/格
False,118,1776846,m,1077,影视/演员/张智尧///作品///倚天/天屠龙/屠龙/屠龙记/////简单/爱/////楚留香/留香/新传///等
False,924,5994406,f,2478,摇滚/歌者///演员///代表/代表作///谭/某某////3////秘密/花园///
False,101,2151575,f,437,香港/知名/知名演员/名演员/演员
False,74,3101831,f,638,韩国/演员/秋/瓷/炫
False,164,374642,m,2830,UNLEASH//创办/创办人
False,437,5879274,m,1783,演员///歌手///中戏/表演/表演系///作品///新/还珠格格/格格////隋唐/英雄//
False,2017,204458,m,1761,导演///演员
False,17,2391639,m,2145,韩国/当红/红花/花美男/偶像/团体
False,772,109018,f,4029,歌手///主持/主持人///杨/梓/文/祺
False,627,23057299,m,3048,香港/英皇/艺人/陈/伟/霆
False,311,22934477,m,1323,中央/中央戏剧/中央戏剧学院/戏剧/戏剧学院/学院///表演/表演系/音乐/音乐剧/班///学生
False,849,12515107,f,2511,演员/董/璇
False,1009,23705527,m,3044,知名/男模
False,807,4389024,m,6750,知名/知名演员/名演员/演员/歌手
False,254,7212016,m,1491,演员/高云/翔
False,243,29647910,f,1332,演员///作品///仙剑/仙剑奇/奇侠传/三/////步步/惊心///等
False,155,1135386,f,487,著名/著名演员/名演员/演员
False,672,92981213,f,9137,知名/女主持/主持/主持人
False,447,52316495,f,1690,演员///代表/代表作/代表作品/作品///花/千/骨////杉杉/来/了////陆/贞/传奇//
False,375,433475,f,803,CCTV/体育/体育新闻/育新/新闻/女主播/梁/毅/苗
False,109,11524692,m,1882,联合/联合国/和平/大使///国际/著名/钢琴/钢琴家/琴家
False,210,9975992,m,1591,星光/星光灿烂/灿烂/演艺/经纪///北京///有限/有限公司/公司///签约/艺人////影视/演员////歌手
False,5,2483733,m,1233,好莱坞/著名/著名演员/名演员/演员/小/罗伯特///唐/尼///代表/代表作///钢铁/侠//
False,516,2297769,f,2251,演员///代表/代表作/代表作品/作品/有///新/醉打金枝/金枝////灵/珠////天生/无/才////后宫/////
False,482,4099331,f,23201,优/米/网/的/创始/创始人
False,589,728900,m,5722,香港/影星///歌手
False,534,3069146,f,2411,歌手/江/映/蓉//2009/年/快乐/女声/全国/总冠军/冠军
False,255,7263961,f,958,演员////代表/代表作///孝庄/秘史////烽火/佳人//
False,174,37179499,f,1857,台湾/知名/女歌手/歌手
False,393,738437,m,1363,香港/演员/吴启华///作品///川岛/川岛芳子////新龙/新龙门/龙门/龙门客栈/门客/客栈////七十/七十二/七十二家/十二/十二家/二家/租客////妙手/妙手仁心/仁心///等
False,359,3895375,f,1808,白/冰///著名/著名演员/名演员/演员///英皇/北京/艺人
False,295,231480,m,13139,台湾/台湾歌手/歌手///被/称为/铁/肺/王子///高音/之/神
False,242,1323911,f,2256,演员////武林/外史///饰/小/泥巴////大唐/双龙/双龙传///饰/宋/玉/致
False,318,8179872,f,1509,演员///作品///甄/嬛/传///天涯/明月/明月刀///微微/微微一笑/很/倾城///锦绣/未央
False,77,32613,f,447,香港/歌手/卫/诗
False,167,402413,m,1271,台湾/知名/名导/导演/林/清/振///擅长/拍摄/偶像/偶像剧///代表/代表作/代表作品/作品/有///败/犬/女王/////霹雳/mit/
False,1,5435193,m,140,//沖/上/雲/霄///首位/華/人/機/長////唐/亦/琛/的/扮演/扮演者//
False,257,1276684,f,2616,青年/歌唱/歌唱家/陈思思/思思
False,164,525703,f,3422,台湾/台湾歌手/歌手/辛晓琪
False,292,5154573,m,1301,香港/著名/著名演员/名演员/演员///歌手
False,328,2959778,m,3188,台湾/演员
False,194,877581,f,588,飞/儿/乐团/主唱/飞
False,214,2352014,f,1703,台湾/台湾歌手/歌手
False,328,3516956,f,1309,演员/江/铠/同///电视/电视剧/处女/处女作///一不小心/不小/小心/心爱/爱上你///
False,225,3879079,m,5879,香港/知名/艺人
False,29,3388279,m,725,五月/五月天/天官/官方/微博
False,308,15638519,f,1219,影视/演员/周/冬雨
False,351,5001334,m,1305,中国/中国歌剧舞剧院/国歌/歌剧/歌剧舞剧院/舞剧/舞剧院/剧院/国家/国家一级/一级/演员///中华/中华全国/全国/全国青联/青联/委员///母亲/亲水/水窖/公益/大使
False,408,530905,m,12759,演员////非/诚/勿扰///中/扮演/爱/茉莉////不要/和/陌生/陌生人/生人/说话///饰/安/嘉/和//
False,142,24515,m,394,艺人/鹿/凌/桀/ALEX
False,256,560949,m,1430,香港/香港艺人/艺人
False,231,49673556,m,1497,著名/名歌/名歌手/歌手///演员
False,133,7488834,m,4562,导演///演员///代表/代表作////叶/问/////精武/精武门/武门///等//
False,648,20818762,m,7141,台湾/艺人///黑人///陈建州/建州
False,682,19030510,m,5779,演员/孙坚///代表/代表作////爱/在/春天////宫/锁/珠帘////美/人/无/泪///等
False,449,11409270,f,3246,艺人///主持/主持人
False,33,1676560,m,446,台湾/台湾歌手/歌手
False,209,19642848,m,1994,运动/运动员/动员///艺人
False,14,253515,m,193,维塔/塔斯///俄罗斯/罗斯/知名/名歌/名歌手/歌手
False,212,11094853,m,1519,台湾/艺人
False,449,35225265,m,4449,歌手///代表/代表作///江南/////曹操//
False,465,16070716,f,4511,著名/著名演员/名演员/演员///飞天///金/鹰///华/鼎/奖/三/料/视/后
False,160,323782,m,786,台/灣/創/作/歌手
False,57,428292,m,168,五月/五月天/天乐/乐队/贝司/贝司手///玛莎
False,393,788255,f,1331,台湾/女歌手/歌手
False,300,58331556,f,3344,演员////仙剑/3//饰/紫/萱////何以/笙箫/默///饰/赵/默/笙
False,876,42012082,m,4158,演员///热播/剧///爱情/公寓///里/饰演/曾/小/贤
False,34,119996,m,386,中/孝/介///日本/知名/名歌/名歌手/歌手
False,364,5025794,m,2109,歌手///演员
False,821,8699922,f,4778,香港/演员/胡杏儿/杏儿
False,106,4774448,m,567,歌手///艺人///主持/主持人
False,436,4922203,m,1303,演员/韩/栋///作品///步步/惊心////新/水浒/水浒传///等
False,97,24858993,f,505,演员///歌手//////代表/代表作/代表作品/作品////幻/城////美丽/的/秘密//
False,273,891105,m,3464,歌手
False,225,66360,m,399,台湾/知名/艺人
False,215,140287,f,1935,台湾/台湾歌手/歌手
False,102,36381362,m,455,演员///歌手///代表/代表作///电影///重返/二十/二十岁/十岁////歌曲///我们/的/明天//
False,245,8088839,f,1881,知名/名歌/名歌手/歌手
False,122,67730628,m,1903,著名/名相/相声/演员/郭/德/纲
False,61,359712,f,801,創/作/型/華/語/女歌手/歌手
False,595,413923,m,3970,香港/歌手/洪/卓/立
False,249,715214,m,6035,广告/广告创意/创意///导演///制片/制片人
False,220,2917890,m,933,演员/赵文卓
False,198,2279634,m,3804,著名/著名演员/名演员/演员///导演
False,575,23218961,f,4762,香港/明星//Twins/组合/组合成/合成/成员/阿/娇
False,580,1898915,m,15470,台湾/演员///歌手
False,183,230448,f,2979,歌手/周/蕙
False,320,14249220,f,1341,台湾/台湾歌手/歌手
False,45,22782651,m,149,香港/歌手///演员/钟汉良
False,232,1423687,f,685,创作/型/艺人///许/飞/吉他/私塾/创始/创始人///飞跑/团团/团团长/团长
False,30,5885954,m,1233,韩国/明星///朴/海/镇//
False,504,855930,f,2350,名模
False,348,2663842,f,1332,人气/歌手///代表/代表作///指望///等//
False,653,73991154,f,3535,演员///代表/代表作///宫////仙剑/仙剑奇/奇侠传/三////我/是/证人///等
False,631,15703140,f,3527,歌手///演员
False,92,1917530,f,1455,知名/知名演员/名演员/演员/员林/林熙蕾
False,286,2209494,f,3766,香港/女艺人/艺人///电视/电视剧///春光/灿烂/猪八戒/八戒////饰/妙/妙
False,777,192070,m,6330,香港/tvb/演员
False,133,157426,f,410,韩国/演员/张瑞希
False,136,10791063,f,1733,演员///联合/联合国/妇女/署/亲善/亲善大使/大使
False,641,92108,f,2132,台湾/女歌手/歌手/梁/一/贞
False,630,1716422,f,4598,原创/音乐/音乐人
False,182,588454,f,2537,1999/年度/香港/小姐//TVB/演员
False,4,924373,f,1447,美国/知名/少女/女歌手/歌手///演员///赛/琳娜///戈麦斯
False,283,5047622,f,1513,台湾/知名/名歌/名歌手/歌手
False,508,1045949,f,1181,中国/第一/摇滚/女声///前指/指南/指南针/南针/乐队/主唱
False,131,247299,f,264,香港/知名/知名演员/名演员/演员
False,91,4307867,f,4353,网络/网络红人/红人///北京/芙蓉/天下/国际/文化/文化传媒/传媒/有限/有限公司/公司/CEO////新浪/微/公益/爱心/团/成员
False,386,4869641,m,1188,新生/新生代/歌手/李/炜
False,150,8610540,f,1828,演/員///歌手
False,327,1546160,f,1586,电视/电视台/主持/主持人/梦/桐
False,473,7141719,m,3240,演员
False,664,5608673,f,2960,北京/北京人民艺术剧院/人民/艺术/艺术剧院/剧院///青年/演员///主演///兰花/兰花花/花花/////金婚/风雨/雨情/////后宫/甄/嬛/传/////母仪天/母仪天下/天下/////尖刀///等
False,637,1290994,f,4024,歌手/金/池///代表/代表作/代表作品/作品////痴心/不/改////我/就/在/你/面前////好好/过//
False,292,29965137,m,1510,演员/张/翰///代表/代表作///胜/女/的/代价////隋唐/隋唐演义/演义////杉杉/来/了///等//
False,31,1579158,m,1116,日本/Horipro/娱乐/所属///演员/古川/雄/辉
False,152,4020250,m,669,台湾/知名/知名演员/名演员/演员/阮经天///主演///艋/舺/////败/犬/女王/////命中/命中注定/注定/我爱你///等
False,319,1912489,m,4334,内地/组合/至上/励/合成/成员/刘/洲/成
False,291,1981457,f,763,演员////艰难/爱情///饰演/林/雨/馨///参演///非/诚/勿扰//
False,36,4694123,m,361,韩国/国人/人气/男子/男子组/组合/BigBang/成员/胜利
False,521,900754,m,5093,香港/香港艺人/艺人///金像/金像奖/最佳/男配角/配角
False,144,9993790,f,1609,台湾/女子/乐团/SHE/成员/Hebe
False,214,60627491,m,942,演员///导演/邓/超
False,525,7579918,f,8650,英皇/娛/樂/藝/人///代表/代表作////正好///霧/裡/看/花///挥/着/翅膀/的/女孩///小小
False,0,311619,m,764,台湾/演员/王传一
False,526,1705053,m,118,歌手/小/文
False,444,12819815,m,1563,香港/藝/人///歌手///兩/屆/金/馬/影帝///舞台/皇/者
False,610,30759587,f,3467,光线/传媒/当家/女主播///歌手///演员
False,571,2380361,f,2447,演员////闯关/闯关东/关东///那/文/扮演/扮演者
False,336,9346386,m,1145,歌手
False,270,3750570,m,1362,第六/第六届/六届///超级/星光/光大/大道///冠军
False,172,1144045,m,1782,知名/名歌/名歌手/歌手
False,97,17156500,m,1399,演员/张/一/山
False,411,43263,f,1286,台湾/女歌手/歌手///演员///代表/代表作///你/最/珍贵////电视/电视剧///美丽/晨曦//
False,26,7397954,m,1196,韩国/男子/男子组/组合///曾/发行//BIGBANG//ALWAYS//等/多张/专辑
False,1044,8188535,m,4364,演员/任/重
False,908,13345999,f,11256,著名/名主/主持/主持人///东方/风行/传媒///静/佳美/妆/品牌///星/创投/基金/金创/创始/创始人
False,251,1335201,m,1739,知名/知名演员/名演员/演员
False,226,24624415,m,1745,新生/新生代/偶像/歌手
False,250,15877394,f,1174,演员
False,53,124652,m,2391,香港/歌手///演员///导演
False,369,1345631,f,2672,演员///制片/制片人
False,429,23124709,f,4775,香港/歌手
False,160,1232255,m,1036,音乐/音乐人///演员/黄/征///音乐/代表/代表作/代表作品/作品///奔跑////爱情/诺曼/度////影视/影视作品/视作/作品///大话/大话西游/西游/3///莽/荒/纪//
False,160,2031565,m,1623,摇滚/摇滚歌手/歌手/郑/钧
False,952,14499947,f,3007,内地/演员///电影///我/要/成名////女/主演//
False,603,5196574,f,3442,演员////我们/无处/安放/的/青春///饰演/周/蒙
False,1080,1152141,m,4447,内地/创作/歌手///音乐/制作/制作人/作人
False,211,791041,m,757,台湾/台湾歌手/歌手/演员
False,376,909290,m,992,知名/名歌/名歌手/歌手///音乐/音乐人//DAN/厂牌/主理/人
False,28,10494034,f,58,内地/知名/女演员/演员///代表/代表作///爱情/公寓/2////熊猫/大侠/////十全/九/美/////风声///等
False,264,9394741,m,1590,知名/名歌/名歌手/歌手
False,439,454187,f,2917,孟庭苇///台湾/著名/女歌手/歌手
False,74,1630644,m,3129,Beyond/乐队/黄贯中
False,333,1085091,m,855,台湾/知名/艺人///导演///制作/制作人/作人///美食/作家
False,491,1863616,m,3853,香港/知名/艺人
False,652,4577427,f,2718,演员/徐/娇///主演///长江/七号////星空//
